Skin_Type,Product_Name,Concern,product_url,product_pic,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Gender_Target,Packaging_Type,Ingredients,Cruelty_Free,Country_of_Origin
Oily , Juicy Chemistry Cold Pressed Rosehip Seed Carrier Oil,Dark Spots,https://juicychemistry.com/products/acne-rosehip-seed-carrier-oil-cold-pressed?_gl=1*iilqyb*_up*MQ..&gclid=Cj0KCQjwwMqvBhCtARIsAIXsZpb0jr4uesg30h3aiCH1DGMydepES8mZOPnTrS3ZFMKg6g0sn8UcG0oaAnB6EALw_wcB,"https://m.media-amazon.com/images/I/61OJsQqnsyL._AC_UF1000,1000_QL80_.jpg",Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Oily,Combination","2% BHA Exfoliator SALICYLIC ACID 2% + NIACINAMIDE
","Whitehead/Blackhead,Exfoliation",https://theformularx.com/products/2-bha-exfoliator-salicylic-acid-niacinamide,https://theformularx.com/cdn/shop/files/BHAEXFOLIATOR.jpg?v=1691584362,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
Dry,2% Niacinamide & Rice Water SPF 50 PA+++ Hybrid Sunscreen,Sun protection,https://plumgoodness.com/products/plum-2-niacinamide-rice-water-spf-50-pa-sunscreen-reduces-blemishes-brightens-skin-protects-from-uva-uvb-rays-fragrance-free-all-skin-types-100-vegan?variant=40571613773884&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gclid=Cj0KCQiA5-uuBhDzARIsAAa21T_WgisbYWRWHmSzk4nQUxSGShGSNIQYak0Viz5nTlDrA3todIYpeLEaAqizEALw_wcB,"https://instamart-media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto/07ea8f119d010c413b00d4fa8a8c3955",Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Dry,Normal,Oily,Combination",6% AHA BHA Exfoliator 5% Glycolic acid + 1% Salicylic acid,"Whitehead/Blackhead,Exfoliation",https://theformularx.com/collections/treat/products/6-aha-bha-exfoliator-glycolic-salicylic-acid,https://theformularx.com/cdn/shop/files/AHABHAEXFOLIATOR.jpg?v=1691585215,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry",AQUA SURGE® CLEAR SUNSTICK SPF 60 SUNSCREEN,Sun protection,https://earthrhythm.com/products/aqua-surge-sunstick-spf-60-sunscreen-stick?gad_source=1&gclid=Cj0KCQiArrCvBhCNARIsAOkAGcUzboxGkCv1SIkbrMZi3Obg3slFA92b-maxCByg19xADFcVMJy5PcsaAnUmEALw_wcB,https://images-static.nykaa.com/media/catalog/product/9/c/9c089ceEARAA00000402ab_1.jpg?tr=w-500,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
Oily,AcneXpert Foaming Face Wash Salicylic Acid & Green Tea,Pores,https://trymoody.com/collections/face-wash/products/acnexpert-foaming-face-wash-salicylic-acid-green-tea,https://trymoody.com/cdn/shop/files/AcneFaceWash_1f8bbe3a-6ec1-4ffb-b90a-d36f3b0f22c1.jpg?v=1704546504&width=1920,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
Oily,AcneXpert Mattifying SPF 50 PA +++ Niacinamide for Oil & Acne Control,Sun protection,https://trymoody.com/collections/sunscreen/products/acnexpert-green-tea-niacinamide-mattifying-oil-acne-control-spf-50-pa-sunscreen,https://trymoody.com/cdn/shop/files/AcneSunscreen_7857115d-aaa8-4463-b891-144d0874bbc5.jpg?v=1704546049&width=1920,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Combination,Oily,Dry,Sensitive",Acnedew Anti Acne & Anti Pimple Cream,Pimples,https://www.1mg.com/otc/acnedew-anti-acne-anti-pimple-cream-otc750347,https://rukminim2.flixcart.com/image/850/1000/k6jnfrk0/moisturizer-cream/r/f/f/75-antiacne-antipimple-acnedew-cream-original-imafzzasfv4eqaqx.jpeg?q=20&crop=false,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Sensitive,Oily",Acnemoist Cream ,Acne,https://www.1mg.com/otc/acnemoist-cream-for-sensitive-acne-prone-oily-skin-otc340541,https://images.apollo247.in/pub/media/catalog/product/A/C/ACN0181_1_3.jpg,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Oily,Dry,Sensitive",Acnestar Clindamycin & Nicotinamide Gel,"Acne,Whitehead/Blackhead,Pimples",https://www.1mg.com/otc/acnestar-clindamycin-nicotinamide-gel-otc358988,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/c2eac464265e488583204c45eea01e6d.jpg",Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
Dry,Air Brush Facial ALL IN ONE LACTIC ACID EXFOLIATOR,"Hydration,Exfoliation",https://theformularx.com/products/air-brush-facial-lactic-acid-serum,https://theformularx.com/cdn/shop/files/AIRBRUSHFACIAL.jpg?v=1691583253,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
"Normal,Dry",AirGel NMF-15% Moisturiser,Hydration,https://mycosiq.com/products/airgel-nmf-15-moisturiser-for-dry-skin-100ml,https://mycosiq.com/cdn/shop/products/airgel-nmf-15-moisturiser-for-dry-skin-100ml-470764.jpg?v=1673130386&width=1100,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
Combination,Amrit – Face Serum Mist- Hyaluronic & Probiotics,"Acne,Dark Spots",https://amayranatural.in/product/probiotics-hydrating-face-toner-mist-serum/,https://amayranatural.in/wp-content/uploads/2022/04/1-6.png,Unknown Brand,Unknown Category,Unknown Frequency,0.0,0.0,0.0,Unknown Size,Unisex,Unknown Packaging,Unknown Ingredients,False,Unknown
